genome_accession	accession_no_version	assembly_version	accession_source_line	all_record_count	all_unique_locus_count	all_valid_coordinate_locus_count	all_hit_scaffold_count	all_total_bp_1based_closed	all_total_bp_end_minus_begin	transposable_flag_positive_record_count	transposable_flag_positive_unique_locus_count	transposable_flag_positive_valid_coordinate_locus_count	transposable_flag_positive_hit_scaffold_count	transposable_flag_positive_total_bp_1based_closed	transposable_flag_positive_total_bp_end_minus_begin	taxonomy_assigned_record_count	taxonomy_assigned_unique_locus_count	taxonomy_assigned_valid_coordinate_locus_count	taxonomy_assigned_hit_scaffold_count	taxonomy_assigned_total_bp_1based_closed	taxonomy_assigned_total_bp_end_minus_begin
GCF_000235285.1	GCF_000235285	1	212	8	8	8	3	265148	265140	1	1	1	1	9794	9793	7	7	7	3	249291	249284
GCF_000241975.1	GCF_000241975	1	213	7	7	7	5	179875	179868	0	0	0	0	0	0	5	5	5	4	171658	171653
GCF_000241995.1	GCF_000241995	1	214	6	6	6	4	151571	151565	0	0	0	0	0	0	5	5	5	4	150249	150244
GCF_000242015.1	GCF_000242015	1	215	4	4	4	4	191268	191264	0	0	0	0	0	0	4	4	4	4	191268	191264
GCF_000242035.1	GCF_000242035	1	216	7	7	7	6	182455	182448	2	2	2	2	50862	50860	6	6	6	5	179058	179052
GCF_000242055.1	GCF_000242055	1	217	3	3	3	2	73533	73530	0	0	0	0	0	0	3	3	3	2	73533	73530
GCF_000245515.1	GCF_000245515	1	218	10	10	10	2	451905	451895	1	1	1	1	8110	8109	10	10	10	2	451905	451895
GCF_000247665.3	GCF_000247665	3	219	9	9	9	8	179664	179655	1	1	1	1	16017	16016	7	7	7	6	154279	154272
GCF_000249055.1	GCF_000249055	1	220	7	7	7	6	141679	141672	1	1	1	1	19477	19476	6	6	6	5	126823	126817
GCF_000249075.1	GCF_000249075	1	221	8	8	8	8	167544	167536	1	1	1	1	18642	18641	6	6	6	6	152774	152768
GCF_000249095.1	GCF_000249095	1	222	11	11	11	10	233127	233116	0	0	0	0	0	0	7	7	7	7	168948	168941
GCF_000249115.1	GCF_000249115	1	223	13	13	13	11	291061	291048	2	2	2	2	75324	75322	11	11	11	9	269116	269105
GCF_000249135.1	GCF_000249135	1	224	4	4	4	4	126540	126536	1	1	1	1	33210	33209	3	3	3	3	110256	110253
GCF_000249175.1	GCF_000249175	1	225	10	10	10	8	202281	202271	0	0	0	0	0	0	8	8	8	7	162982	162974
GCF_000249215.1	GCF_000249215	1	226	6	6	6	6	135283	135277	0	0	0	0	0	0	3	3	3	3	95727	95724
GCF_000249235.1	GCF_000249235	1	227	7	7	7	7	116385	116378	0	0	0	0	0	0	5	5	5	5	83493	83488
GCF_000249255.1	GCF_000249255	1	228	10	10	10	8	147896	147886	0	0	0	0	0	0	10	10	10	8	147896	147886
GCF_000249275.1	GCF_000249275	1	229	13	13	13	11	180651	180638	1	1	1	1	22975	22974	13	13	13	11	180651	180638
GCF_000249335.1	GCF_000249335	1	230	11	11	11	11	119427	119416	0	0	0	0	0	0	9	9	9	9	109647	109638
GCF_000249435.1	GCF_000249435	1	231	9	9	9	8	136282	136273	1	1	1	1	40942	40941	8	8	8	7	131824	131816
GCF_000249455.1	GCF_000249455	1	232	9	9	9	8	142178	142169	0	0	0	0	0	0	7	7	7	6	131814	131807
GCF_000249495.1	GCF_000249495	1	233	6	6	6	6	152145	152139	0	0	0	0	0	0	5	5	5	5	149333	149328
GCF_000249515.1	GCF_000249515	1	234	7	7	7	6	144097	144090	0	0	0	0	0	0	6	6	6	6	137275	137269
GCF_000249535.1	GCF_000249535	1	235	13	13	13	12	176914	176901	0	0	0	0	0	0	12	12	12	11	172867	172855
GCF_000249555.1	GCF_000249555	1	236	6	6	6	6	107188	107182	0	0	0	0	0	0	6	6	6	6	107188	107182
GCF_000249575.1	GCF_000249575	1	237	11	11	11	10	183086	183075	0	0	0	0	0	0	10	10	10	9	181501	181491
GCF_000249595.1	GCF_000249595	1	238	11	11	11	9	332003	331992	2	2	2	2	65823	65821	10	10	10	8	319027	319017
GCF_000249675.1	GCF_000249675	1	239	6	6	6	4	146483	146477	1	1	1	1	64069	64068	5	5	5	4	134433	134428
GCF_000249695.1	GCF_000249695	1	240	7	7	7	7	238668	238661	2	2	2	2	90411	90409	6	6	6	6	208112	208106
GCF_000249715.1	GCF_000249715	1	241	4	4	4	4	51108	51104	0	0	0	0	0	0	3	3	3	3	46090	46087
GCF_000249735.1	GCF_000249735	1	242	7	7	7	7	258559	258552	1	1	1	1	38942	38941	6	6	6	6	228869	228863
GCF_000249755.1	GCF_000249755	1	243	8	8	8	8	245516	245508	1	1	1	1	34405	34404	7	7	7	7	215637	215630
GCF_000249775.1	GCF_000249775	1	244	8	8	8	8	228017	228009	0	0	0	0	0	0	7	7	7	7	210656	210649
GCF_000249855.1	GCF_000249855	1	245	10	10	10	10	179260	179250	1	1	1	1	16058	16057	8	8	8	8	164459	164451
GCF_000249875.1	GCF_000249875	1	246	12	12	12	12	140613	140601	2	2	2	2	22858	22856	8	8	8	8	105409	105401
GCF_000249895.1	GCF_000249895	1	247	8	8	8	8	157821	157813	1	1	1	1	36153	36152	7	7	7	7	156879	156872
GCF_000249915.1	GCF_000249915	1	248	11	11	11	11	220794	220783	1	1	1	1	8418	8417	9	9	9	9	202093	202084
GCF_000249935.1	GCF_000249935	1	249	11	11	11	9	166765	166754	1	1	1	1	6940	6939	7	7	7	6	147332	147325
GCF_000249955.1	GCF_000249955	1	250	14	14	14	11	298521	298507	2	2	2	2	42694	42692	12	12	12	9	277462	277450
GCF_000249975.1	GCF_000249975	1	251	10	10	10	10	203366	203356	0	0	0	0	0	0	6	6	6	6	167830	167824
GCF_000250075.1	GCF_000250075	1	252	6	6	6	6	126542	126536	0	0	0	0	0	0	5	5	5	5	117986	117981
GCF_000250095.1	GCF_000250095	1	253	12	12	12	11	307018	307006	0	0	0	0	0	0	9	9	9	9	262630	262621
GCF_000250115.1	GCF_000250115	1	254	11	11	11	10	210250	210239	0	0	0	0	0	0	9	9	9	8	190890	190881
GCF_000250135.1	GCF_000250135	1	255	12	12	12	10	248015	248003	1	1	1	1	35703	35702	9	9	9	7	230030	230021
GCF_000250175.1	GCF_000250175	1	256	10	10	10	9	222503	222493	2	2	2	2	48812	48810	8	8	8	7	213684	213676
GCF_000250195.1	GCF_000250195	1	257	10	10	10	8	258834	258824	1	1	1	1	44657	44656	10	10	10	8	258834	258824
GCF_000250215.1	GCF_000250215	1	258	10	10	10	10	234214	234204	0	0	0	0	0	0	7	7	7	7	196167	196160
GCF_000250275.1	GCF_000250275	1	259	13	13	13	11	265382	265369	1	1	1	1	35547	35546	9	9	9	9	239067	239058
GCF_000250295.1	GCF_000250295	1	260	5	5	5	5	88535	88530	0	0	0	0	0	0	5	5	5	5	88535	88530
GCF_000250315.1	GCF_000250315	1	261	6	6	6	5	114561	114555	0	0	0	0	0	0	6	6	6	5	114561	114555
GCF_000250335.1	GCF_000250335	1	262	5	5	5	4	124675	124670	0	0	0	0	0	0	5	5	5	4	124675	124670
GCF_000250355.1	GCF_000250355	1	263	4	4	4	4	141178	141174	1	1	1	1	46419	46418	4	4	4	4	141178	141174
GCF_000250375.1	GCF_000250375	1	264	5	5	5	5	149207	149202	1	1	1	1	7485	7484	4	4	4	4	141722	141718
GCF_000250395.1	GCF_000250395	1	265	4	4	4	4	59900	59896	1	1	1	1	6386	6385	3	3	3	3	53514	53511
GCF_000250415.1	GCF_000250415	1	266	2	2	2	2	77865	77863	1	1	1	1	42707	42706	2	2	2	2	77865	77863
GCF_000250475.1	GCF_000250475	1	267	8	8	8	6	196904	196896	0	0	0	0	0	0	7	7	7	5	188812	188805
GCF_000250495.1	GCF_000250495	1	268	6	6	6	4	192443	192437	0	0	0	0	0	0	6	6	6	4	192443	192437
GCF_000250515.1	GCF_000250515	1	269	6	6	6	6	225929	225923	0	0	0	0	0	0	6	6	6	6	225929	225923
GCF_000250535.1	GCF_000250535	1	270	8	8	8	5	249395	249387	0	0	0	0	0	0	7	7	7	5	235042	235035
GCF_000250555.1	GCF_000250555	1	271	6	6	6	6	173632	173626	0	0	0	0	0	0	5	5	5	5	159430	159425
GCF_000250575.1	GCF_000250575	1	272	8	8	8	6	232720	232712	1	1	1	1	52244	52243	8	8	8	6	232720	232712
GCF_000252805.1	GCF_000252805	1	273	6	6	6	4	126941	126935	0	0	0	0	0	0	6	6	6	4	126941	126935
GCF_000258025.1	GCF_000258025	1	274	6	6	6	1	202817	202811	0	0	0	0	0	0	6	6	6	1	202817	202811
GCF_000258145.1	GCF_000258145	1	275	7	7	7	1	239059	239052	0	0	0	0	0	0	7	7	7	1	239059	239052
GCF_000258225.1	GCF_000258225	1	276	6	6	6	6	162799	162793	0	0	0	0	0	0	6	6	6	6	162799	162793
GCF_000258615.1	GCF_000258615	1	277	8	8	8	2	292303	292295	1	1	1	1	10089	10088	8	8	8	2	292303	292295
GCF_000258635.1	GCF_000258635	1	278	7	7	7	1	228307	228300	0	0	0	0	0	0	7	7	7	1	228307	228300
GCF_000258785.1	GCF_000258785	1	279	1	1	1	1	37974	37973	0	0	0	0	0	0	1	1	1	1	37974	37973
GCF_000258865.1	GCF_000258865	1	280	5	5	5	5	64022	64017	0	0	0	0	0	0	3	3	3	3	41420	41417
GCF_000259135.1	GCF_000259135	1	281	4	4	4	4	57014	57010	0	0	0	0	0	0	3	3	3	3	43879	43876
GCF_000259385.1	GCF_000259385	1	282	7	7	7	7	149703	149696	0	0	0	0	0	0	7	7	7	7	149703	149696
GCF_000259425.1	GCF_000259425	1	283	4	4	4	4	98727	98723	0	0	0	0	0	0	2	2	2	2	71550	71548
GCF_000259695.1	GCF_000259695	1	284	3	3	3	2	116130	116127	1	1	1	1	47449	47448	3	3	3	2	116130	116127
GCF_000260475.1	GCF_000260475	1	285	15	15	15	11	287898	287883	1	1	1	1	7879	7878	12	12	12	9	272239	272227
GCF_000261145.1	GCF_000261145	1	286	7	7	7	5	261938	261931	2	2	2	2	110565	110563	6	6	6	5	253871	253865
GCF_000261385.1	GCF_000261385	1	287	12	12	12	5	372634	372622	2	2	2	2	36422	36420	11	11	11	5	349645	349634
GCF_000261405.1	GCF_000261405	1	288	6	6	6	3	195952	195946	0	0	0	0	0	0	6	6	6	3	195952	195946
GCF_000262125.1	GCF_000262125	1	289	11	11	11	1	487035	487024	2	2	2	1	103178	103176	10	10	10	1	473804	473794
GCF_000263895.1	GCF_000263895	1	290	6	6	6	6	94340	94334	0	0	0	0	0	0	5	5	5	5	87665	87660
GCF_000263915.1	GCF_000263915	1	291	5	5	5	5	83593	83588	0	0	0	0	0	0	5	5	5	5	83593	83588
GCF_000263935.1	GCF_000263935	1	292	3	3	3	3	71165	71162	0	0	0	0	0	0	3	3	3	3	71165	71162
GCF_000263955.1	GCF_000263955	1	293	2	2	2	2	15496	15494	0	0	0	0	0	0	1	1	1	1	10395	10394
GCF_000263975.1	GCF_000263975	1	294	3	3	3	3	73317	73314	0	0	0	0	0	0	3	3	3	3	73317	73314
GCF_000263995.1	GCF_000263995	1	295	4	4	4	4	25438	25434	0	0	0	0	0	0	2	2	2	2	17142	17140
GCF_000264015.1	GCF_000264015	1	296	6	6	6	5	91234	91228	0	0	0	0	0	0	6	6	6	5	91234	91228
GCF_000264035.1	GCF_000264035	1	297	3	3	3	3	34186	34183	0	0	0	0	0	0	2	2	2	2	32893	32891
GCF_000264095.1	GCF_000264095	1	298	5	5	5	5	95946	95941	0	0	0	0	0	0	3	3	3	3	74927	74924
GCF_000264115.1	GCF_000264115	1	299	7	7	7	7	122763	122756	0	0	0	0	0	0	7	7	7	7	122763	122756
GCF_000264135.1	GCF_000264135	1	300	2	2	2	2	50033	50031	0	0	0	0	0	0	1	1	1	1	36084	36083
GCF_000264155.1	GCF_000264155	1	301	1	1	1	1	10623	10622	1	1	1	1	10623	10622	1	1	1	1	10623	10622
GCF_000264175.1	GCF_000264175	1	302	4	4	4	4	40132	40128	0	0	0	0	0	0	2	2	2	2	11851	11849
GCF_000264195.1	GCF_000264195	1	303	4	4	4	4	92202	92198	0	0	0	0	0	0	4	4	4	4	92202	92198
GCF_000264215.1	GCF_000264215	1	304	3	3	3	3	69850	69847	0	0	0	0	0	0	3	3	3	3	69850	69847
GCF_000264235.1	GCF_000264235	1	305	6	6	6	6	114833	114827	0	0	0	0	0	0	5	5	5	5	100326	100321
GCF_000267005.2	GCF_000267005	2	306	2	2	2	2	24836	24834	0	0	0	0	0	0	2	2	2	2	24836	24834
GCF_000267025.1	GCF_000267025	1	307	5	5	5	5	114545	114540	1	1	1	1	39724	39723	3	3	3	3	107212	107209
GCF_000267045.1	GCF_000267045	1	308	10	10	10	9	159977	159967	2	2	2	2	48071	48069	6	6	6	5	137942	137936
GCF_000267065.1	GCF_000267065	1	309	12	12	12	10	191159	191147	0	0	0	0	0	0	9	9	9	9	185602	185593
GCF_000267085.1	GCF_000267085	1	310	8	8	8	8	154086	154078	1	1	1	1	17010	17009	6	6	6	6	136134	136128
GCF_000267105.1	GCF_000267105	1	311	12	12	12	9	171158	171146	1	1	1	1	39907	39906	11	11	11	8	163907	163896
GCF_000267125.1	GCF_000267125	1	312	9	9	9	7	177723	177714	0	0	0	0	0	0	8	8	8	7	176781	176773
GCF_000267145.1	GCF_000267145	1	313	13	13	13	10	173297	173284	2	2	2	2	22928	22926	10	10	10	8	154479	154469
GCF_000267165.1	GCF_000267165	1	314	14	14	14	13	199185	199171	1	1	1	1	17375	17374	13	13	13	12	191814	191801
GCF_000267185.1	GCF_000267185	1	315	15	15	15	12	235385	235370	2	2	2	2	47426	47424	14	14	14	11	234443	234429
GCF_000267205.2	GCF_000267205	2	316	4	4	4	4	38497	38493	1	1	1	1	12386	12385	3	3	3	3	37555	37552
GCF_000267225.2	GCF_000267225	2	317	3	3	3	3	13101	13098	0	0	0	0	0	0	3	3	3	3	13101	13098
GCF_000267245.2	GCF_000267245	2	318	3	3	3	3	39753	39750	0	0	0	0	0	0	3	3	3	3	39753	39750
GCF_000267265.2	GCF_000267265	2	319	5	5	5	5	68400	68395	1	1	1	1	30162	30161	4	4	4	4	67458	67454
GCF_000267285.2	GCF_000267285	2	320	6	6	6	6	81885	81879	0	0	0	0	0	0	6	6	6	6	81885	81879
GCF_000267305.2	GCF_000267305	2	321	3	3	3	3	12675	12672	0	0	0	0	0	0	3	3	3	3	12675	12672
GCF_000267325.1	GCF_000267325	1	322	1	1	1	1	956	955	0	0	0	0	0	0	1	1	1	1	956	955
GCF_000267345.2	GCF_000267345	2	323	4	4	4	4	40424	40420	1	1	1	1	12371	12370	3	3	3	3	39482	39479
GCF_000267365.2	GCF_000267365	2	324	2	2	2	2	27826	27824	0	0	0	0	0	0	2	2	2	2	27826	27824
GCF_000267385.2	GCF_000267385	2	325	3	3	3	3	37377	37374	0	0	0	0	0	0	2	2	2	2	27592	27590
GCF_000267405.2	GCF_000267405	2	326	3	3	3	3	45805	45802	0	0	0	0	0	0	3	3	3	3	45805	45802
GCF_000267425.2	GCF_000267425	2	327	5	5	5	5	40963	40958	0	0	0	0	0	0	5	5	5	5	40963	40958
GCF_000267445.2	GCF_000267445	2	328	4	4	4	4	43760	43756	0	0	0	0	0	0	4	4	4	4	43760	43756
GCF_000267465.2	GCF_000267465	2	329	3	3	3	3	35593	35590	0	0	0	0	0	0	3	3	3	3	35593	35590
GCF_000267485.2	GCF_000267485	2	330	6	6	6	6	122218	122212	0	0	0	0	0	0	4	4	4	4	107940	107936
GCF_000267505.2	GCF_000267505	2	331	1	1	1	1	49746	49745	0	0	0	0	0	0	1	1	1	1	49746	49745
GCF_000267525.2	GCF_000267525	2	332	6	6	6	6	101428	101422	0	0	0	0	0	0	5	5	5	5	88092	88087
GCF_000267585.2	GCF_000267585	2	333	1	1	1	1	29201	29200	0	0	0	0	0	0	1	1	1	1	29201	29200
GCF_000267605.2	GCF_000267605	2	334	4	4	4	4	23457	23453	0	0	0	0	0	0	4	4	4	4	23457	23453
GCF_000267625.2	GCF_000267625	2	335	6	6	6	6	98134	98128	1	1	1	1	30015	30014	4	4	4	4	90827	90823
GCF_000267645.2	GCF_000267645	2	336	4	4	4	4	69477	69473	0	0	0	0	0	0	3	3	3	3	61186	61183
GCF_000267665.2	GCF_000267665	2	337	4	4	4	4	84843	84839	1	1	1	1	25080	25079	2	2	2	2	59044	59042
GCF_000267685.2	GCF_000267685	2	338	4	4	4	4	37656	37652	0	0	0	0	0	0	4	4	4	4	37656	37652
GCF_000267705.2	GCF_000267705	2	339	2	2	2	2	19216	19214	0	0	0	0	0	0	1	1	1	1	9290	9289
GCF_000267725.2	GCF_000267725	2	340	3	3	3	3	27464	27461	0	0	0	0	0	0	2	2	2	2	19259	19257
GCF_000267745.2	GCF_000267745	2	341	5	5	5	5	75904	75899	0	0	0	0	0	0	3	3	3	3	59035	59032
GCF_000267765.2	GCF_000267765	2	342	4	4	4	4	42621	42617	1	1	1	1	12386	12385	4	4	4	4	42621	42617
GCF_000267785.2	GCF_000267785	2	343	4	4	4	4	55252	55248	1	1	1	1	12375	12374	3	3	3	3	54310	54307
GCF_000267805.2	GCF_000267805	2	344	4	4	4	4	14753	14749	0	0	0	0	0	0	2	2	2	2	9924	9922
GCF_000267825.2	GCF_000267825	2	345	4	4	4	4	80277	80273	1	1	1	1	14479	14478	3	3	3	3	65798	65795
GCF_000267845.2	GCF_000267845	2	346	4	4	4	4	67679	67675	1	1	1	1	8644	8643	3	3	3	3	59035	59032
GCF_000267865.2	GCF_000267865	2	347	3	3	3	3	57973	57970	0	0	0	0	0	0	2	2	2	2	57031	57029
GCF_000267885.2	GCF_000267885	2	348	5	5	5	5	71499	71494	1	1	1	1	30013	30012	4	4	4	4	70557	70553
GCF_000267905.2	GCF_000267905	2	349	3	3	3	3	34378	34375	0	0	0	0	0	0	2	2	2	2	24836	24834
GCF_000267925.2	GCF_000267925	2	350	4	4	4	4	46596	46592	1	1	1	1	11428	11427	4	4	4	4	46596	46592
GCF_000267945.2	GCF_000267945	2	351	4	4	4	4	78620	78616	0	0	0	0	0	0	4	4	4	4	78620	78616
GCF_000267965.2	GCF_000267965	2	352	6	6	6	6	87488	87482	0	0	0	0	0	0	4	4	4	4	66295	66291
GCF_000268205.1	GCF_000268205	1	353	5	5	5	5	180785	180780	0	0	0	0	0	0	5	5	5	5	180785	180780
GCF_000269645.1	GCF_000269645	1	354	5	5	5	1	69076	69071	1	1	1	1	17769	17768	3	3	3	1	45931	45928
GCF_000270105.1	GCF_000270105	1	355	5	5	5	1	61140	61135	2	2	2	1	25198	25196	3	3	3	1	47192	47189
GCF_000273425.1	GCF_000273425	1	356	5	5	5	1	69076	69071	1	1	1	1	17769	17768	3	3	3	1	45931	45928
GCF_000276745.1	GCF_000276745	1	357	6	6	6	6	83067	83061	0	0	0	0	0	0	5	5	5	5	76151	76146
GCF_000276765.1	GCF_000276765	1	358	6	6	6	6	110537	110531	1	1	1	1	19262	19261	6	6	6	6	110537	110531
GCF_000276785.1	GCF_000276785	1	359	1	1	1	1	533	532	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000276845.1	GCF_000276845	1	360	5	5	5	5	67468	67463	0	0	0	0	0	0	5	5	5	5	67468	67463
GCF_000276865.1	GCF_000276865	1	361	3	3	3	3	46148	46145	0	0	0	0	0	0	3	3	3	3	46148	46145
GCF_000276885.1	GCF_000276885	1	362	6	6	6	6	129066	129060	1	1	1	1	27614	27613	5	5	5	5	113665	113660
GCF_000276925.1	GCF_000276925	1	363	1	1	1	1	533	532	0	0	0	0	0	0	1	1	1	1	533	532
GCF_000276945.1	GCF_000276945	1	364	6	6	6	6	106731	106725	0	0	0	0	0	0	4	4	4	4	89188	89184
GCF_000281775.1	GCF_000281775	1	365	6	6	6	6	140089	140083	0	0	0	0	0	0	6	6	6	6	140089	140083
GCF_000284495.1	GCF_000284495	1	366	4	4	4	1	153209	153205	0	0	0	0	0	0	4	4	4	1	153209	153205
GCF_000285375.1	GCF_000285375	1	367	7	7	7	1	218615	218608	0	0	0	0	0	0	6	6	6	1	211939	211933
GCF_000285655.3	GCF_000285655	3	368	6	6	6	1	240235	240229	0	0	0	0	0	0	6	6	6	1	240235	240229
GCF_000295775.2	GCF_000295775	2	369	1	1	1	1	47798	47797	0	0	0	0	0	0	1	1	1	1	47798	47797
GCF_000297235.3	GCF_000297235	3	370	2	2	2	2	72323	72321	0	0	0	0	0	0	2	2	2	2	72323	72321
GCF_000299255.1	GCF_000299255	1	371	10	10	10	2	341992	341982	0	0	0	0	0	0	9	9	9	2	334894	334885
GCF_000299455.1	GCF_000299455	1	372	8	8	8	1	320212	320204	1	1	1	1	9601	9600	8	8	8	1	320212	320204
GCF_000299475.1	GCF_000299475	1	373	9	9	9	1	367806	367797	0	0	0	0	0	0	8	8	8	1	359034	359026
GCF_000302715.1	GCF_000302715	1	374	12	12	12	11	170639	170627	0	0	0	0	0	0	9	9	9	8	158237	158228
GCF_000302735.1	GCF_000302735	1	375	11	11	11	9	185419	185408	0	0	0	0	0	0	10	10	10	8	175649	175639
GCF_000303235.2	GCF_000303235	2	376	3	3	3	3	48251	48248	0	0	0	0	0	0	3	3	3	3	48251	48248
GCF_000303255.2	GCF_000303255	2	377	4	4	4	4	56588	56584	0	0	0	0	0	0	3	3	3	3	54552	54549
GCF_000303275.2	GCF_000303275	2	378	2	2	2	2	25340	25338	1	1	1	1	8746	8745	1	1	1	1	16594	16593
GCF_000303295.2	GCF_000303295	2	379	2	2	2	2	23111	23109	1	1	1	1	7780	7779	1	1	1	1	15331	15330
GCF_000303315.2	GCF_000303315	2	380	3	3	3	3	26186	26183	0	0	0	0	0	0	2	2	2	2	25244	25242
GCF_000303335.2	GCF_000303335	2	381	4	4	4	4	32730	32726	1	1	1	1	5921	5920	2	2	2	2	25867	25865
GCF_000303355.2	GCF_000303355	2	382	4	4	4	4	40122	40118	1	1	1	1	11437	11436	3	3	3	3	39180	39177
GCF_000303375.2	GCF_000303375	2	383	5	5	5	5	48705	48700	1	1	1	1	11437	11436	4	4	4	4	47763	47759
GCF_000303395.2	GCF_000303395	2	384	5	5	5	5	63680	63675	0	0	0	0	0	0	5	5	5	5	63680	63675
GCF_000303415.2	GCF_000303415	2	385	4	4	4	4	37623	37619	1	1	1	1	11437	11436	3	3	3	3	36681	36678
GCF_000303435.2	GCF_000303435	2	386	2	2	2	2	5711	5709	0	0	0	0	0	0	2	2	2	2	5711	5709
GCF_000303455.2	GCF_000303455	2	387	5	5	5	5	53160	53155	1	1	1	1	12377	12376	4	4	4	4	52218	52214
GCF_000303475.2	GCF_000303475	2	388	4	4	4	4	43185	43181	1	1	1	1	11428	11427	3	3	3	3	42243	42240
GCF_000303495.2	GCF_000303495	2	389	3	3	3	3	34872	34869	0	0	0	0	0	0	3	3	3	3	34872	34869
GCF_000303515.2	GCF_000303515	2	390	5	5	5	5	48823	48818	1	1	1	1	11428	11427	4	4	4	4	47881	47877
GCF_000303535.2	GCF_000303535	2	391	3	3	3	3	35479	35476	0	0	0	0	0	0	3	3	3	3	35479	35476
GCF_000303555.2	GCF_000303555	2	392	3	3	3	3	14443	14440	0	0	0	0	0	0	3	3	3	3	14443	14440
GCF_000303575.2	GCF_000303575	2	393	5	5	5	5	70069	70064	0	0	0	0	0	0	5	5	5	5	70069	70064
GCF_000303595.2	GCF_000303595	2	394	6	6	6	6	68762	68756	0	0	0	0	0	0	4	4	4	4	64897	64893
GCF_000303615.2	GCF_000303615	2	395	5	5	5	5	51285	51280	0	0	0	0	0	0	5	5	5	5	51285	51280
GCF_000303635.2	GCF_000303635	2	396	1	1	1	1	14011	14010	0	0	0	0	0	0	1	1	1	1	14011	14010
GCF_000303655.2	GCF_000303655	2	397	2	2	2	2	43910	43908	0	0	0	0	0	0	2	2	2	2	43910	43908
GCF_000303675.2	GCF_000303675	2	398	4	4	4	4	51787	51783	0	0	0	0	0	0	3	3	3	3	38451	38448
GCF_000303695.2	GCF_000303695	2	399	6	6	6	6	60226	60220	1	1	1	1	5214	5213	5	5	5	5	52569	52564
GCF_000303715.2	GCF_000303715	2	400	2	2	2	2	27312	27310	1	1	1	1	11981	11980	1	1	1	1	15331	15330
GCF_000303735.2	GCF_000303735	2	401	4	4	4	4	56368	56364	1	1	1	1	13997	13996	3	3	3	3	42371	42368
GCF_000303755.2	GCF_000303755	2	402	4	4	4	4	89819	89815	0	0	0	0	0	0	3	3	3	3	82871	82868
GCF_000303775.2	GCF_000303775	2	403	4	4	4	3	108701	108697	2	2	2	2	29825	29823	4	4	4	3	108701	108697
GCF_000303795.2	GCF_000303795	2	404	2	2	2	2	26515	26513	0	0	0	0	0	0	2	2	2	2	26515	26513
GCF_000303815.2	GCF_000303815	2	405	5	5	5	4	79703	79698	1	1	1	1	24430	24429	4	4	4	3	66367	66363
GCF_000303835.2	GCF_000303835	2	406	3	3	3	3	39795	39792	1	1	1	1	25517	25516	1	1	1	1	25517	25516
GCF_000303855.2	GCF_000303855	2	407	4	4	4	4	105294	105290	1	1	1	1	25117	25116	3	3	3	3	91958	91955
GCF_000303875.2	GCF_000303875	2	408	3	3	3	3	46870	46867	0	0	0	0	0	0	3	3	3	3	46870	46867
GCF_000303895.2	GCF_000303895	2	409	2	2	2	2	45859	45857	1	1	1	1	12336	12335	1	1	1	1	33523	33522
GCF_000303915.2	GCF_000303915	2	410	2	2	2	2	42166	42164	1	1	1	1	11979	11978	1	1	1	1	30187	30186
GCF_000303935.2	GCF_000303935	2	411	4	4	4	4	71768	71764	1	1	1	1	12926	12925	3	3	3	3	58842	58839
GCF_000303955.2	GCF_000303955	2	412	2	2	2	2	29002	29000	1	1	1	1	12336	12335	1	1	1	1	16666	16665
GCF_000303975.2	GCF_000303975	2	413	5	5	5	5	55811	55806	1	1	1	1	24504	24503	3	3	3	3	41534	41531
GCF_000303995.2	GCF_000303995	2	414	6	6	6	6	189100	189094	0	0	0	0	0	0	5	5	5	5	165569	165564
GCF_000304015.2	GCF_000304015	2	415	1	1	1	1	5576	5575	0	0	0	0	0	0	1	1	1	1	5576	5575
GCF_000304035.2	GCF_000304035	2	416	4	4	4	4	61755	61751	0	0	0	0	0	0	3	3	3	3	47626	47623
GCF_000304055.2	GCF_000304055	2	417	7	7	7	5	113224	113217	0	0	0	0	0	0	4	4	4	3	88462	88458
GCF_000304075.2	GCF_000304075	2	418	4	4	4	3	69539	69535	1	1	1	1	22339	22338	3	3	3	3	64267	64264
GCF_000304095.2	GCF_000304095	2	419	6	6	6	6	143123	143117	0	0	0	0	0	0	6	6	6	6	143123	143117
GCF_000304115.2	GCF_000304115	2	420	6	6	6	6	47140	47134	0	0	0	0	0	0	4	4	4	4	38276	38272
GCF_000304135.2	GCF_000304135	2	421	7	7	7	6	156869	156862	0	0	0	0	0	0	5	5	5	5	126048	126043
GCF_000304255.1	GCF_000304255	1	422	6	6	6	6	116048	116042	0	0	0	0	0	0	6	6	6	6	116048	116042
GCF_000304815.2	GCF_000304815	2	423	3	3	3	3	38786	38783	0	0	0	0	0	0	2	2	2	2	28667	28665
GCF_000304835.2	GCF_000304835	2	424	4	4	4	4	67282	67278	0	0	0	0	0	0	3	3	3	3	57074	57071
GCF_000304855.2	GCF_000304855	2	425	3	3	3	3	34258	34255	0	0	0	0	0	0	3	3	3	3	34258	34255
GCF_000304875.2	GCF_000304875	2	426	3	3	3	3	55855	55852	1	1	1	1	25438	25437	2	2	2	2	42519	42517
GCF_000305155.2	GCF_000305155	2	427	3	3	3	3	38636	38633	1	1	1	1	13016	13015	2	2	2	2	25620	25618
GCF_000305175.1	GCF_000305175	1	428	3	3	3	3	96752	96749	0	0	0	0	0	0	3	3	3	3	96752	96749
