sequence,cluster,genome
GCF_000978815.2_prophage_15,1,GCF_000978815.2
GCF_000982035.1_prophage_4,1,GCF_000982035.1
GCF_000986635.1_prophage_3,15,GCF_000986635.1
GCF_000986635.1_prophage_6,8,GCF_000986635.1
GCF_000986635.1_prophage_7,1,GCF_000986635.1
GCF_000986765.1_prophage_8,1,GCF_000986765.1
GCF_000987545.1_prophage_6,17,GCF_000987545.1
GCF_000988385.1_prophage_5,7,GCF_000988385.1
GCF_000988425.1_prophage_1,1,GCF_000988425.1
GCF_001005685.1_prophage_1,15,GCF_001005685.1
GCF_001005685.1_prophage_10,10,GCF_001005685.1
GCF_001012015.1_prophage_1,17,GCF_001012015.1
GCF_001012155.1_prophage_5,12,GCF_001012155.1
GCF_001012165.1_prophage_1,2,GCF_001012165.1
GCF_001012345.1_prophage_4,15,GCF_001012345.1
GCF_001012395.1_prophage_1,16,GCF_001012395.1
GCF_001012395.1_prophage_3,12,GCF_001012395.1
GCF_001012495.1_prophage_4,2,GCF_001012495.1
GCF_001012575.1_prophage_5,2,GCF_001012575.1
GCF_001012575.1_prophage_7,18,GCF_001012575.1
GCF_001030245.1_prophage_1,1,GCF_001030245.1
GCF_001030305.1_prophage_7,13,GCF_001030305.1
GCF_001030365.1_prophage_2,15,GCF_001030365.1
GCF_001030435.1_prophage_7,8,GCF_001030435.1
GCF_001030485.1_prophage_4,17,GCF_001030485.1
GCF_001030545.1_prophage_1,2,GCF_001030545.1
GCF_001030585.1_prophage_6,1,GCF_001030585.1
GCF_001030585.1_prophage_8,20,GCF_001030585.1
GCF_001030625.1_prophage_4,2,GCF_001030625.1
GCF_001032735.1_prophage_2,20,GCF_001032735.1
GCF_001039075.2_prophage_13,2,GCF_001039075.2
GCF_001039125.2_prophage_19,12,GCF_001039125.2
GCF_001039145.2_prophage_7,1,GCF_001039145.2
GCF_001039155.2_prophage_18,14,GCF_001039155.2
GCF_001039225.2_prophage_1,20,GCF_001039225.2
GCF_001052125.1_prophage_2,11,GCF_001052125.1
GCF_001054615.1_prophage_1,18,GCF_001054615.1
GCF_001056215.1_prophage_1,8,GCF_001056215.1
GCF_001056875.1_prophage_1,20,GCF_001056875.1
GCF_001056875.1_prophage_4,10,GCF_001056875.1
GCF_001058205.1_prophage_2,19,GCF_001058205.1
GCF_001058555.1_prophage_1,11,GCF_001058555.1
GCF_001058915.1_prophage_1,13,GCF_001058915.1
GCF_001059485.1_prophage_2,19,GCF_001059485.1
GCF_001067225.1_prophage_2,15,GCF_001067225.1
GCF_001077955.1_prophage_5,4,GCF_001077955.1
GCF_001182805.1_prophage_1,1,GCF_001182805.1
GCF_001186315.1_prophage_2,20,GCF_001186315.1
GCF_001191105.1_prophage_3,3,GCF_001191105.1
GCF_001191185.1_prophage_2,15,GCF_001191185.1
GCF_001191435.1_prophage_2,12,GCF_001191435.1
GCF_001191455.1_prophage_6,14,GCF_001191455.1
GCF_001191465.1_prophage_4,15,GCF_001191465.1
GCF_001245225.1_prophage_6,2,GCF_001245225.1
GCF_001262455.1_prophage_4,9,GCF_001262455.1
GCF_001262785.1_prophage_6,2,GCF_001262785.1
GCF_001262865.1_prophage_2,1,GCF_001262865.1
GCF_001262935.1_prophage_8,20,GCF_001262935.1
GCF_001262955.1_prophage_2,14,GCF_001262955.1
GCF_001263065.1_prophage_12,1,GCF_001263065.1
GCF_001264175.1_prophage_3,3,GCF_001264175.1
GCF_001264215.1_prophage_7,16,GCF_001264215.1
GCF_001265235.1_prophage_2,20,GCF_001265235.1
GCF_001265315.1_prophage_1,18,GCF_001265315.1
GCF_001265395.1_prophage_4,3,GCF_001265395.1
GCF_001265465.1_prophage_1,2,GCF_001265465.1
GCF_001265495.1_prophage_2,20,GCF_001265495.1
GCF_001265925.1_prophage_4,13,GCF_001265925.1
GCF_001265925.1_prophage_5,3,GCF_001265925.1
GCF_001266075.1_prophage_5,14,GCF_001266075.1
GCF_001266305.1_prophage_1,13,GCF_001266305.1
GCF_001266335.1_prophage_8,11,GCF_001266335.1
GCF_001266405.1_prophage_3,6,GCF_001266405.1
GCF_001266405.1_prophage_9,1,GCF_001266405.1
GCF_001267355.1_prophage_3,20,GCF_001267355.1
GCF_001268505.1_prophage_3,4,GCF_001268505.1
GCF_001268525.1_prophage_3,5,GCF_001268525.1
GCF_001269005.1_prophage_3,8,GCF_001269005.1
GCF_001269065.1_prophage_3,7,GCF_001269065.1
GCF_001269325.1_prophage_6,20,GCF_001269325.1
GCF_001276265.1_prophage_2,14,GCF_001276265.1
GCF_001277435.1_prophage_6,10,GCF_001277435.1
GCF_001277555.1_prophage_2,3,GCF_001277555.1
GCF_001277615.1_prophage_7,20,GCF_001277615.1
GCF_001277655.1_prophage_3,10,GCF_001277655.1
GCF_001280325.1_prophage_4,18,GCF_001280325.1
GCF_001280345.1_prophage_4,12,GCF_001280345.1
GCF_001280405.1_prophage_5,14,GCF_001280405.1
GCF_001281885.1_prophage_2,13,GCF_001281885.1
GCF_001281965.1_prophage_5,16,GCF_001281965.1
GCF_001282065.1_prophage_3,3,GCF_001282065.1
GCF_001282335.1_prophage_2,3,GCF_001282335.1
GCF_001283165.1_prophage_4,10,GCF_001283165.1
GCF_001283185.1_prophage_4,20,GCF_001283185.1
GCF_001283185.1_prophage_7,17,GCF_001283185.1
GCF_001283285.1_prophage_3,15,GCF_001283285.1
GCF_001283445.1_prophage_2,13,GCF_001283445.1
GCF_001283445.1_prophage_3,15,GCF_001283445.1
GCF_001283565.1_prophage_1,16,GCF_001283565.1
GCF_001283785.1_prophage_3,1,GCF_001283785.1
GCF_001283845.1_prophage_2,1,GCF_001283845.1
GCF_001283865.2_prophage_3,10,GCF_001283865.2
GCF_001284025.1_prophage_7,1,GCF_001284025.1
GCF_001284085.1_prophage_8,7,GCF_001284085.1
GCF_001284165.2_prophage_4,3,GCF_001284165.2
GCF_001284405.1_prophage_3,11,GCF_001284405.1
GCF_001284525.1_prophage_2,16,GCF_001284525.1
GCF_001284625.1_prophage_3,15,GCF_001284625.1
GCF_001284745.1_prophage_3,14,GCF_001284745.1
GCF_001284805.1_prophage_4,16,GCF_001284805.1
GCF_001284945.1_prophage_6,20,GCF_001284945.1
GCF_001285065.1_prophage_5,10,GCF_001285065.1
GCF_001285105.1_prophage_3,7,GCF_001285105.1
GCF_001285165.1_prophage_2,9,GCF_001285165.1
GCF_001285285.1_prophage_3,15,GCF_001285285.1
GCF_001285305.1_prophage_6,20,GCF_001285305.1
GCF_001285305.1_prophage_9,6,GCF_001285305.1
GCF_001285825.1_prophage_1,15,GCF_001285825.1
GCF_001285845.1_prophage_1,15,GCF_001285845.1
GCF_001286045.1_prophage_1,10,GCF_001286045.1
GCF_001286165.1_prophage_1,16,GCF_001286165.1
GCF_001286165.1_prophage_3,20,GCF_001286165.1
GCF_001286205.1_prophage_2,15,GCF_001286205.1
GCF_001286625.1_prophage_1,10,GCF_001286625.1
GCF_001286625.1_prophage_3,16,GCF_001286625.1
GCF_001286645.1_prophage_2,20,GCF_001286645.1
GCF_001286705.1_prophage_9,10,GCF_001286705.1
GCF_001297725.1_prophage_3,20,GCF_001297725.1
GCF_001297975.1_prophage_1,20,GCF_001297975.1
GCF_001306605.1_prophage_2,13,GCF_001306605.1
GCF_001306605.1_prophage_8,19,GCF_001306605.1
GCF_001307215.1_prophage_7,2,GCF_001307215.1
GCF_001307215.1_prophage_9,15,GCF_001307215.1
GCF_001309645.1_prophage_6,15,GCF_001309645.1
GCF_001309775.1_prophage_1,15,GCF_001309775.1
GCF_001309895.1_prophage_2,4,GCF_001309895.1
GCF_001309925.1_prophage_1,16,GCF_001309925.1
GCF_001413005.1_prophage_4,9,GCF_001413005.1
GCF_001413355.1_prophage_2,20,GCF_001413355.1
GCF_001413375.1_prophage_2,10,GCF_001413375.1
GCF_001413485.1_prophage_5,7,GCF_001413485.1
GCF_001413565.1_prophage_5,16,GCF_001413565.1
GCF_001413645.1_prophage_2,20,GCF_001413645.1
GCF_001413745.1_prophage_1,2,GCF_001413745.1
GCF_001419865.1_prophage_3,10,GCF_001419865.1
GCF_001420955.1_prophage_6,2,GCF_001420955.1
GCF_001420955.1_prophage_7,5,GCF_001420955.1
GCF_001432175.2_prophage_3,3,GCF_001432175.2
GCF_001440615.1_prophage_2,10,GCF_001440615.1
GCF_001440655.1_prophage_1,15,GCF_001440655.1
GCF_001441345.1_prophage_2,12,GCF_001441345.1
GCF_001442495.1_prophage_2,14,GCF_001442495.1
GCF_001442495.1_prophage_5,8,GCF_001442495.1
GCF_001463405.1_prophage_7,13,GCF_001463405.1
GCF_001463455.1_prophage_5,14,GCF_001463455.1
GCF_001463535.1_prophage_3,8,GCF_001463535.1
GCF_001467005.1_prophage_4,16,GCF_001467005.1
GCF_001484265.1_prophage_4,3,GCF_001484265.1
GCF_001484355.1_prophage_2,13,GCF_001484355.1
GCF_001485455.1_prophage_7,11,GCF_001485455.1
GCF_001499595.1_prophage_2,11,GCF_001499595.1
GCF_001506145.1_prophage_9,20,GCF_001506145.1
GCF_001513635.1_prophage_7,13,GCF_001513635.1
GCF_001515725.1_prophage_4,14,GCF_001515725.1
GCF_001519235.1_prophage_6,18,GCF_001519235.1
GCF_001519365.2_prophage_6,1,GCF_001519365.2
GCF_001519475.1_prophage_1,12,GCF_001519475.1
GCF_001519755.1_prophage_5,8,GCF_001519755.1
GCF_001519895.1_prophage_4,8,GCF_001519895.1
GCF_001519995.1_prophage_3,19,GCF_001519995.1
GCF_001520095.1_prophage_6,3,GCF_001520095.1
GCF_001520295.1_prophage_2,19,GCF_001520295.1
GCF_001520355.1_prophage_1,18,GCF_001520355.1
GCF_001520695.2_prophage_2,12,GCF_001520695.2
GCF_001520815.2_prophage_6,12,GCF_001520815.2
GCF_001520845.1_prophage_1,16,GCF_001520845.1
GCF_001520935.1_prophage_3,16,GCF_001520935.1
GCF_001521155.1_prophage_3,10,GCF_001521155.1
GCF_001521355.1_prophage_1,10,GCF_001521355.1
GCF_001521455.1_prophage_2,8,GCF_001521455.1
GCF_001521475.1_prophage_2,5,GCF_001521475.1
GCF_001521535.1_prophage_3,20,GCF_001521535.1
GCF_001524885.1_prophage_1,8,GCF_001524885.1
GCF_001542545.1_prophage_1,15,GCF_001542545.1
GCF_001550005.1_prophage_4,17,GCF_001550005.1
GCF_001561015.1_prophage_6,15,GCF_001561015.1
GCF_001561025.1_prophage_4,10,GCF_001561025.1
GCF_001561095.1_prophage_1,15,GCF_001561095.1
GCF_001561205.1_prophage_1,18,GCF_001561205.1
GCF_001561275.1_prophage_1,19,GCF_001561275.1
GCF_001561365.1_prophage_3,1,GCF_001561365.1
GCF_001561705.1_prophage_1,19,GCF_001561705.1
GCF_001561835.1_prophage_2,10,GCF_001561835.1
GCF_001561835.1_prophage_5,12,GCF_001561835.1
GCF_001562345.1_prophage_6,12,GCF_001562345.1
GCF_001562855.1_prophage_1,8,GCF_001562855.1
GCF_001563715.2_prophage_16,17,GCF_001563715.2
GCF_001563715.2_prophage_5,2,GCF_001563715.2
GCF_001566335.1_prophage_4,2,GCF_001566335.1
GCF_001571485.1_prophage_3,10,GCF_001571485.1
GCF_001571495.1_prophage_1,10,GCF_001571495.1
GCF_001571565.1_prophage_6,18,GCF_001571565.1
GCF_001571665.1_prophage_4,20,GCF_001571665.1
GCF_001571825.1_prophage_2,15,GCF_001571825.1
GCF_001571905.1_prophage_5,14,GCF_001571905.1
GCF_001571965.1_prophage_5,12,GCF_001571965.1
GCF_001572045.1_prophage_7,12,GCF_001572045.1
GCF_001572265.1_prophage_4,13,GCF_001572265.1
GCF_001572485.1_prophage_8,2,GCF_001572485.1
GCF_001572525.1_prophage_3,3,GCF_001572525.1
GCF_001575355.1_prophage_6,17,GCF_001575355.1
GCF_001575465.1_prophage_1,6,GCF_001575465.1
GCF_001575595.1_prophage_2,14,GCF_001575595.1
GCF_001575785.1_prophage_1,14,GCF_001575785.1
GCF_001575795.1_prophage_3,8,GCF_001575795.1
GCF_001575865.1_prophage_6,14,GCF_001575865.1
GCF_001575965.1_prophage_1,20,GCF_001575965.1
GCF_001576135.1_prophage_2,12,GCF_001576135.1
GCF_001576295.1_prophage_4,14,GCF_001576295.1
GCF_001576375.1_prophage_2,10,GCF_001576375.1
GCF_001576435.1_prophage_1,14,GCF_001576435.1
GCF_001593565.1_prophage_4,2,GCF_001593565.1
GCF_001596865.1_prophage_1,12,GCF_001596865.1
GCF_001601655.1_prophage_3,15,GCF_001601655.1
GCF_001606365.1_prophage_3,15,GCF_001606365.1
GCF_001606525.1_prophage_11,9,GCF_001606525.1
GCF_001606525.1_prophage_12,3,GCF_001606525.1
GCF_001606615.1_prophage_1,16,GCF_001606615.1
GCF_001606615.1_prophage_3,2,GCF_001606615.1
GCF_001606755.1_prophage_9,9,GCF_001606755.1
GCF_001606785.1_prophage_10,2,GCF_001606785.1
GCF_001606835.1_prophage_8,1,GCF_001606835.1
GCF_001606955.1_prophage_3,1,GCF_001606955.1
GCF_001606985.1_prophage_7,16,GCF_001606985.1
GCF_001607015.1_prophage_4,7,GCF_001607015.1
GCF_001607025.1_prophage_4,7,GCF_001607025.1
GCF_001607045.1_prophage_2,3,GCF_001607045.1
GCF_001607075.1_prophage_11,12,GCF_001607075.1
GCF_001607285.1_prophage_7,15,GCF_001607285.1
GCF_001607285.1_prophage_8,1,GCF_001607285.1
GCF_001607365.1_prophage_3,15,GCF_001607365.1
GCF_001607435.1_prophage_2,3,GCF_001607435.1
GCF_001607445.1_prophage_5,13,GCF_001607445.1
GCF_001607455.1_prophage_3,9,GCF_001607455.1
GCF_001607525.1_prophage_3,1,GCF_001607525.1
GCF_001607605.1_prophage_1,12,GCF_001607605.1
GCF_001607815.1_prophage_4,1,GCF_001607815.1
GCF_001607835.1_prophage_2,7,GCF_001607835.1
GCF_001607895.1_prophage_4,16,GCF_001607895.1
GCF_001607895.1_prophage_5,14,GCF_001607895.1
GCF_001607925.1_prophage_6,15,GCF_001607925.1
GCF_001608085.1_prophage_1,15,GCF_001608085.1
GCF_001608085.1_prophage_7,16,GCF_001608085.1
GCF_001608105.1_prophage_5,1,GCF_001608105.1
GCF_001608235.1_prophage_4,1,GCF_001608235.1
GCF_001608285.1_prophage_3,4,GCF_001608285.1
GCF_001608315.1_prophage_10,4,GCF_001608315.1
GCF_001609215.1_prophage_4,12,GCF_001609215.1
GCF_001609315.1_prophage_10,4,GCF_001609315.1
GCF_001609315.1_prophage_3,14,GCF_001609315.1
GCF_001609745.1_prophage_5,7,GCF_001609745.1
GCF_001609795.1_prophage_3,15,GCF_001609795.1
GCF_001612475.1_prophage_1,2,GCF_001612475.1
GCF_001614395.1_prophage_1,1,GCF_001614395.1
GCF_001614955.1_prophage_2,11,GCF_001614955.1
GCF_001615035.1_prophage_8,4,GCF_001615035.1
GCF_001615095.1_prophage_2,9,GCF_001615095.1
GCF_001615325.1_prophage_1,16,GCF_001615325.1
GCF_001615535.1_prophage_2,11,GCF_001615535.1
GCF_001615625.1_prophage_1,1,GCF_001615625.1
GCF_001616045.1_prophage_9,1,GCF_001616045.1
GCF_001616345.1_prophage_2,5,GCF_001616345.1
GCF_001616515.1_prophage_1,20,GCF_001616515.1
GCF_001616515.1_prophage_2,15,GCF_001616515.1
GCF_001616615.1_prophage_5,12,GCF_001616615.1
GCF_001616695.1_prophage_2,17,GCF_001616695.1
GCF_001616715.1_prophage_5,14,GCF_001616715.1
GCF_001617025.1_prophage_2,8,GCF_001617025.1
GCF_001618345.2_prophage_4,1,GCF_001618345.2
GCF_001618345.2_prophage_5,1,GCF_001618345.2
GCF_001618365.1_prophage_1,1,GCF_001618365.1
GCF_001619075.1_prophage_3,20,GCF_001619075.1
GCF_001621245.1_prophage_5,3,GCF_001621245.1
GCF_001621515.1_prophage_3,3,GCF_001621515.1
GCF_001621565.1_prophage_4,3,GCF_001621565.1
GCF_001621675.1_prophage_1,20,GCF_001621675.1
GCF_001621805.1_prophage_4,15,GCF_001621805.1
GCF_001622045.1_prophage_6,19,GCF_001622045.1
GCF_001637625.1_prophage_4,20,GCF_001637625.1
GCF_001637705.1_prophage_4,13,GCF_001637705.1
GCF_001637905.1_prophage_2,15,GCF_001637905.1
GCF_001637985.1_prophage_2,13,GCF_001637985.1
GCF_001638025.1_prophage_5,20,GCF_001638025.1
GCF_001638045.1_prophage_6,19,GCF_001638045.1
GCF_001638055.1_prophage_2,19,GCF_001638055.1
GCF_001638055.1_prophage_4,16,GCF_001638055.1
GCF_001638065.1_prophage_7,10,GCF_001638065.1
GCF_001638205.1_prophage_1,1,GCF_001638205.1
GCF_001638225.1_prophage_5,1,GCF_001638225.1
GCF_001640145.1_prophage_6,17,GCF_001640145.1
GCF_001640245.1_prophage_3,15,GCF_001640245.1
GCF_001641555.1_prophage_4,7,GCF_001641555.1
GCF_001642295.1_prophage_3,11,GCF_001642295.1
GCF_001644745.1_prophage_4,1,GCF_001644745.1
GCF_001645225.1_prophage_3,2,GCF_001645225.1
GCF_001647345.1_prophage_3,10,GCF_001647345.1
GCF_001650295.1_prophage_18,2,GCF_001650295.1
GCF_001650295.1_prophage_2,15,GCF_001650295.1
GCF_001650505.1_prophage_2,15,GCF_001650505.1
GCF_001650505.1_prophage_3,15,GCF_001650505.1
GCF_001650585.1_prophage_4,4,GCF_001650585.1
GCF_001650605.1_prophage_8,20,GCF_001650605.1
GCF_001651685.1_prophage_4,2,GCF_001651685.1
GCF_001651725.1_prophage_2,12,GCF_001651725.1
GCF_001651925.2_prophage_3,1,GCF_001651925.2
GCF_001651965.2_prophage_1,8,GCF_001651965.2
GCF_001652805.1_prophage_2,13,GCF_001652805.1
GCF_001657505.1_prophage_5,13,GCF_001657505.1
GCF_001660195.1_prophage_7,6,GCF_001660195.1
GCF_001660325.1_prophage_6,15,GCF_001660325.1
GCF_001677475.2_prophage_7,2,GCF_001677475.2
GCF_001677495.1_prophage_11,2,GCF_001677495.1
GCF_001677515.1_prophage_9,20,GCF_001677515.1
GCF_001677625.2_prophage_4,3,GCF_001677625.2
GCF_001677635.2_prophage_7,9,GCF_001677635.2
GCF_001677805.2_prophage_6,12,GCF_001677805.2
GCF_001677855.2_prophage_5,13,GCF_001677855.2
GCF_001678925.1_prophage_3,1,GCF_001678925.1
GCF_001678965.1_prophage_13,15,GCF_001678965.1
GCF_001693315.1_prophage_5,9,GCF_001693315.1
GCF_001695515.1_prophage_14,13,GCF_001695515.1
GCF_001695515.1_prophage_8,2,GCF_001695515.1
GCF_001700025.1_prophage_3,20,GCF_001700025.1
GCF_001700095.1_prophage_2,11,GCF_001700095.1
GCF_001700095.1_prophage_3,10,GCF_001700095.1
GCF_001700105.1_prophage_2,13,GCF_001700105.1
GCF_001713575.1_prophage_1,3,GCF_001713575.1
GCF_001713585.1_prophage_2,8,GCF_001713585.1
GCF_001721125.1_prophage_15,20,GCF_001721125.1
GCF_001721225.1_prophage_2,2,GCF_001721225.1
GCF_001749065.1_prophage_6,10,GCF_001749065.1
GCF_001749205.1_prophage_5,18,GCF_001749205.1
GCF_001749225.1_prophage_2,10,GCF_001749225.1
GCF_001749235.1_prophage_1,2,GCF_001749235.1
GCF_001749375.1_prophage_3,13,GCF_001749375.1
GCF_001749625.1_prophage_6,13,GCF_001749625.1
GCF_001753485.1_prophage_5,2,GCF_001753485.1
GCF_001753505.1_prophage_13,1,GCF_001753505.1
GCF_001753545.1_prophage_9,2,GCF_001753545.1
GCF_001753565.1_prophage_13,1,GCF_001753565.1
GCF_001806285.1_prophage_13,2,GCF_001806285.1
GCF_001865195.1_prophage_3,5,GCF_001865195.1
GCF_001865295.1_prophage_10,2,GCF_001865295.1
GCF_001865295.1_prophage_12,2,GCF_001865295.1
GCF_001865295.1_prophage_5,3,GCF_001865295.1
GCF_001878695.1_prophage_1,1,GCF_001878695.1
GCF_001881055.1_prophage_3,8,GCF_001881055.1
GCF_001881145.1_prophage_2,12,GCF_001881145.1
GCF_001881275.1_prophage_1,3,GCF_001881275.1
GCF_001881315.1_prophage_5,1,GCF_001881315.1
GCF_001881385.1_prophage_1,1,GCF_001881385.1
GCF_001881425.1_prophage_6,13,GCF_001881425.1
GCF_001881435.1_prophage_9,18,GCF_001881435.1
GCF_001881605.1_prophage_1,3,GCF_001881605.1
GCF_001884785.1_prophage_4,2,GCF_001884785.1
GCF_001886935.1_prophage_2,2,GCF_001886935.1
GCF_001890205.1_prophage_12,15,GCF_001890205.1
GCF_001890225.1_prophage_6,1,GCF_001890225.1
GCF_001890245.1_prophage_17,1,GCF_001890245.1
GCF_001890265.1_prophage_13,1,GCF_001890265.1
GCF_001890265.1_prophage_7,2,GCF_001890265.1
GCF_001890265.1_prophage_8,2,GCF_001890265.1
GCF_001891225.1_prophage_2,12,GCF_001891225.1
GCF_001891305.1_prophage_2,12,GCF_001891305.1
GCF_001891315.1_prophage_1,4,GCF_001891315.1
GCF_001891535.1_prophage_2,20,GCF_001891535.1
GCF_001891605.1_prophage_1,8,GCF_001891605.1
GCF_001891685.1_prophage_3,20,GCF_001891685.1
GCF_001891725.1_prophage_2,2,GCF_001891725.1
GCF_001891865.1_prophage_9,17,GCF_001891865.1
GCF_001891925.1_prophage_4,17,GCF_001891925.1
GCF_001892045.1_prophage_2,1,GCF_001892045.1
GCF_001892065.1_prophage_1,1,GCF_001892065.1
GCF_001892065.1_prophage_2,2,GCF_001892065.1
GCF_001892215.1_prophage_3,2,GCF_001892215.1
GCF_001892325.1_prophage_3,1,GCF_001892325.1
GCF_001892365.1_prophage_4,1,GCF_001892365.1
GCF_001892405.1_prophage_1,17,GCF_001892405.1
GCF_001892425.1_prophage_6,8,GCF_001892425.1
GCF_001892485.1_prophage_3,4,GCF_001892485.1
GCF_001892585.1_prophage_4,15,GCF_001892585.1
GCF_001892645.1_prophage_1,1,GCF_001892645.1
GCF_001892795.1_prophage_3,1,GCF_001892795.1
GCF_001892905.1_prophage_2,17,GCF_001892905.1
GCF_001893285.1_prophage_6,17,GCF_001893285.1
GCF_001893685.1_prophage_3,1,GCF_001893685.1
GCF_001893765.1_prophage_1,20,GCF_001893765.1
GCF_001893765.1_prophage_6,7,GCF_001893765.1
GCF_001893785.1_prophage_3,17,GCF_001893785.1
GCF_001894065.1_prophage_5,2,GCF_001894065.1
GCF_001894245.1_prophage_1,1,GCF_001894245.1
GCF_001894255.1_prophage_2,20,GCF_001894255.1
GCF_001894645.1_prophage_3,1,GCF_001894645.1
GCF_001900335.1_prophage_1,13,GCF_001900335.1
GCF_001900415.1_prophage_2,14,GCF_001900415.1
GCF_001900435.1_prophage_5,14,GCF_001900435.1
GCF_001900515.1_prophage_5,15,GCF_001900515.1
GCF_001900655.1_prophage_1,8,GCF_001900655.1
GCF_001900655.1_prophage_3,14,GCF_001900655.1
GCF_001900655.1_prophage_6,8,GCF_001900655.1
GCF_001900795.1_prophage_3,14,GCF_001900795.1
GCF_001901005.1_prophage_1,14,GCF_001901005.1
GCF_001901005.1_prophage_2,1,GCF_001901005.1
GCF_001901425.1_prophage_7,16,GCF_001901425.1
GCF_001902685.1_prophage_9,15,GCF_001902685.1
GCF_001902735.1_prophage_5,9,GCF_001902735.1
GCF_001909105.1_prophage_2,8,GCF_001909105.1
GCF_001910855.1_prophage_2,14,GCF_001910855.1
GCF_001910925.1_prophage_11,14,GCF_001910925.1
GCF_001910925.1_prophage_5,14,GCF_001910925.1
GCF_001910935.1_prophage_6,7,GCF_001910935.1
GCF_001911095.1_prophage_3,14,GCF_001911095.1
GCF_001911095.1_prophage_5,1,GCF_001911095.1
GCF_001911145.1_prophage_4,8,GCF_001911145.1
GCF_001911405.1_prophage_3,1,GCF_001911405.1
GCF_001911485.1_prophage_3,2,GCF_001911485.1
GCF_001911545.1_prophage_6,20,GCF_001911545.1
GCF_001911585.1_prophage_3,3,GCF_001911585.1
GCF_001911635.1_prophage_6,8,GCF_001911635.1
GCF_001911675.1_prophage_3,3,GCF_001911675.1
GCF_001911695.1_prophage_5,5,GCF_001911695.1
GCF_001911745.1_prophage_4,16,GCF_001911745.1
GCF_001911905.1_prophage_1,5,GCF_001911905.1
GCF_001911935.1_prophage_2,4,GCF_001911935.1
GCF_001911985.1_prophage_1,1,GCF_001911985.1
GCF_001911985.1_prophage_5,3,GCF_001911985.1
GCF_001912085.1_prophage_4,12,GCF_001912085.1
GCF_001912235.1_prophage_3,2,GCF_001912235.1
GCF_001912275.1_prophage_2,12,GCF_001912275.1
GCF_001912425.1_prophage_2,1,GCF_001912425.1
GCF_001912475.1_prophage_4,2,GCF_001912475.1
GCF_001912485.1_prophage_1,8,GCF_001912485.1
GCF_001912525.1_prophage_4,4,GCF_001912525.1
GCF_001912675.1_prophage_4,17,GCF_001912675.1
GCF_001939185.1_prophage_11,1,GCF_001939185.1
GCF_001970045.1_prophage_3,2,GCF_001970045.1
GCF_001970075.1_prophage_7,2,GCF_001970075.1
GCF_001970105.1_prophage_4,15,GCF_001970105.1
GCF_001990545.2_prophage_6,15,GCF_001990545.2
GCF_001990865.1_prophage_2,7,GCF_001990865.1
GCF_001994955.1_prophage_1,15,GCF_001994955.1
GCF_001994975.1_prophage_9,15,GCF_001994975.1
GCF_002001715.1_prophage_3,1,GCF_002001715.1
GCF_002001845.1_prophage_2,9,GCF_002001845.1
GCF_002002045.1_prophage_2,3,GCF_002002045.1
GCF_002002045.1_prophage_6,7,GCF_002002045.1
GCF_002002055.1_prophage_2,11,GCF_002002055.1
GCF_002002285.1_prophage_4,12,GCF_002002285.1
GCF_002002325.1_prophage_1,17,GCF_002002325.1
GCF_002002545.1_prophage_3,4,GCF_002002545.1
GCF_002006965.1_prophage_2,2,GCF_002006965.1
GCF_002011965.1_prophage_4,18,GCF_002011965.1
GCF_002012025.1_prophage_9,18,GCF_002012025.1
GCF_002012165.1_prophage_7,20,GCF_002012165.1
GCF_002012305.1_prophage_7,20,GCF_002012305.1
GCF_002015195.1_prophage_1,3,GCF_002015195.1
GCF_002015255.1_prophage_5,17,GCF_002015255.1
GCF_002015255.1_prophage_6,12,GCF_002015255.1
GCF_002015355.1_prophage_6,12,GCF_002015355.1
GCF_002015375.1_prophage_1,16,GCF_002015375.1
GCF_002015385.1_prophage_3,12,GCF_002015385.1
GCF_002015435.1_prophage_4,4,GCF_002015435.1
GCF_002015455.1_prophage_3,12,GCF_002015455.1
GCF_002015455.1_prophage_6,12,GCF_002015455.1
GCF_002015625.1_prophage_3,4,GCF_002015625.1
GCF_002015775.1_prophage_2,15,GCF_002015775.1
GCF_002015775.1_prophage_6,16,GCF_002015775.1
GCF_002015815.1_prophage_3,11,GCF_002015815.1
GCF_002015855.1_prophage_6,16,GCF_002015855.1
GCF_002015875.1_prophage_4,7,GCF_002015875.1
GCF_002015885.1_prophage_8,20,GCF_002015885.1
GCF_002015935.1_prophage_3,3,GCF_002015935.1
GCF_002015935.1_prophage_5,16,GCF_002015935.1
GCF_002015965.1_prophage_2,16,GCF_002015965.1
GCF_002016195.1_prophage_5,16,GCF_002016195.1
GCF_002016355.1_prophage_3,10,GCF_002016355.1
GCF_002016375.1_prophage_2,10,GCF_002016375.1
